
gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=1.0e+01
VWLS,mu=70.08164648,alpha=11.17054363,gamma=0.71416730,n=10
MLE,mu=70.27853471,alpha=9.96132879,gamma=0.55114377,n=10
PWM,mu=85.12398597,alpha=19.03945394,gamma=-1.27494759,n=10
L-moments,mu=70.46162583,alpha=11.46562174,gamma=0.34321112,n=10

gev-mu=70,alpha=10,gamma=0.5,N=e6.csv;rej_b=0.001;n=1.5e+01
VWLS,mu=69.37063257,alpha=15.31210742,gamma=0.55688840,n=15
MLE,mu=68.35025411,alpha=9.98281579,gamma=0.77246554,n=15
PWM,mu=77.60952700,alpha=24.36924303,gamma=-0.33302254,n=15
L-moments,mu=69.60547052,alpha=12.91176816,gamma=0.40120793,n=15

gev-mu=70,alpha=10,gamma=0.5,N=e6.csv;rej_b=0.001;n=2.0e+01
VWLS,mu=67.76896222,alpha=10.72356636,gamma=0.65043485,n=20
MLE,mu=68.08926365,alpha=8.39078392,gamma=0.62434860,n=20
PWM,mu=72.78332448,alpha=18.14392552,gamma=-0.10730910,n=20
L-moments,mu=68.19717113,alpha=9.16900051,gamma=0.47445114,n=20

gev-mu=70,alpha=10,gamma=0.5,N=e6.csv;rej_b=0.001;n=3.0e+01
VWLS,mu=67.46409878,alpha=7.62328629,gamma=0.66779682,n=30
MLE,mu=67.95689922,alpha=7.52914236,gamma=0.51098472,n=30
PWM,mu=70.44370681,alpha=13.45273284,gamma=0.01748288,n=30
L-moments,mu=67.88608656,alpha=7.66912957,gamma=0.45239417,n=30

gev-mu=70,alpha=10,gamma=0.5,N=e6.csv;rej_b=0.001;n=5.0e+01
VWLS,mu=68.03974921,alpha=10.82617374,gamma=0.43208517,n=50
MLE,mu=67.90738696,alpha=7.69754329,gamma=0.58175659,n=50
PWM,mu=69.64501400,alpha=12.02775625,gamma=0.20279224,n=50
L-moments,mu=68.27761035,alpha=8.48564758,gamma=0.43779509,n=50

gev-mu=70,alpha=10,gamma=0.5,N=e6.csv;rej_b=0.001;n=1.0e+02
VWLS,mu=68.97615371,alpha=10.89646857,gamma=0.42667505,n=100
MLE,mu=68.67122317,alpha=8.90964159,gamma=0.54193502,n=100
PWM,mu=69.86756435,alpha=11.65415038,gamma=0.29100437,n=100
L-moments,mu=69.18824745,alpha=9.85830129,gamma=0.39991607,n=100

gev-mu=70,alpha=10,gamma=0.5,N=e6.csv;rej_b=0.001;n=1.5e+02
